id,date,congviec,timestart,timestop,ghichuca,hinhanh1ca,hinhanh2ca
03d3e46c,15/10/2019,1,00:00:00,21:00:00,,,
d62adb52,17/10/2019,7440b2ae,07:25:00,07:25:00,,,
901ae214,17/10/2019,07e24929,07:55:00,08:10:00,,,
d53c1817,17/10/2019,24119593,08:22:00,08:22:00,,,
25bc922f,16/10/2019,7440b2ae,07:30:00,07:30:00,,,
6adef239,16/10/2019,24119593,09:15:00,09:15:00,,,
2b3204f7,16/10/2019,27e0f033,10:45:00,10:55:00,giao 6 bình lấy 6 vỏ,,
19b6c39a,16/10/2019,725279c1,13:30:00,13:40:00,,,
b1cca6b3,16/10/2019,117ee640,17:05:00,17:05:00,,,
76dbceb6,16/10/2019,117ee640,17:10:00,17:10:00,,,
c2bca16e,16/10/2019,117ee640,17:20:00,17:20:00,,,
0889ef7e,16/10/2019,117ee640,17:30:00,17:30:00,,,
acaaa063,16/10/2019,154b617e,18:06:00,18:06:00,,,
bf8a1dae,16/10/2019,a0d9188c,20:00:00,20:00:00,,,
b87f59a0,16/10/2019,1,06:00:00,23:59:00,,,
59bae3db,17/10/2019,1,00:00:00,21:00:00,,,
0e4f6e28,15/10/2019,37014aeb,06:00:00,06:00:00,,,
25252121,15/10/2019,7440b2ae,07:37:00,07:37:00,,,
699d16b6,15/10/2019,24119593,08:02:00,08:02:00,,,
e303a8bb,15/10/2019,f4c93c85,13:00:00,13:00:00,,,
2a73cb8e,15/10/2019,2,14:05:00,14:15:00,,,
c073e27f,15/10/2019,117ee640,17:05:00,17:05:00,3 khách từ quầy,,
28bfb272,15/10/2019,117ee640,17:15:00,17:15:00,,,
7019e77b,15/10/2019,154b617e,19:27:00,19:27:00,,,
246cb28b,15/10/2019,a0d9188c,21:00:00,21:00:00,,,
91eba35c,14/10/2019,37014aeb,06:00:00,06:00:00,,,
30502e2a,14/10/2019,7440b2ae,07:34:00,07:34:00,,,
d0a09cfc,14/10/2019,24119593,07:55:00,07:55:00,,,
7745244b,14/10/2019,2,09:04:00,09:10:00,A130,,
01468b73,14/10/2019,725279c1,14:00:00,14:10:00,,,
495ae5b7,14/10/2019,331fc1d7,15:30:00,15:35:00,,,
fadd3282,14/10/2019,591628bb,15:45:00,17:06:00,,,
695baa8b,14/10/2019,154b617e,18:00:00,18:00:00,,,
5ca7784f,14/10/2019,a0d9188c,21:57:00,21:57:00,,,
77edef49,14/10/2019,1,06:00:00,23:59:00,,,
a629bdd4,13/10/2019,37014aeb,06:05:00,06:05:00,,,
bee705f0,13/10/2019,1,06:00:00,21:00:00,,,
f09dc369,12/10/2019,1,00:00:00,21:00:00,,,
9cb51544,12/10/2019,24119593,08:15:00,15:48:00,,,
01c29abd,12/10/2019,d5bf42cd,18:00:00,18:00:00,,,
67a4360e,11/10/2019,1,06:00:00,23:59:00,,,
985d5e59,11/10/2019,7440b2ae,07:25:00,07:25:00,,,
afff2a60,11/10/2019,24119593,08:02:00,08:02:00,,,
