id,dienbienca,nhanvien
219fc5f5,99bfdc28,1
8cacddb9,610469d2,1
0b6df08e,1,1
9c130197,20997a48,1
2efe9c38,3a589361,2414884e
174e64ff,8a54bd55,a782b548
9f2c4fb6,5333b9ae,1
81ea83e7,03d3e46c,1
af2a265c,d62adb52,2414884e
8564aa7e,901ae214,1
485dc76e,d53c1817,f769d378
1030e1f5,25bc922f,2414884e
a0d445ee,6adef239,f769d378
3f547f39,2b3204f7,bc812b63
ae04db8d,19b6c39a,a85fc6d7
1249c226,19b6c39a,8aaf08ce
54a76e96,b1cca6b3,2
7cc25375,76dbceb6,09659890
abcac91a,76dbceb6,79f5ae44
57e29706,b1cca6b3,1b836613
4d94d5e0,c2bca16e,1b836613
54fbcf88,c2bca16e,040b166c
023434d5,c2bca16e,1b836613
b5f8f06d,0889ef7e,1b836613
9878f63d,0889ef7e,d031861a
aa0f2060,acaaa063,a6e2979c
ab43b708,bf8a1dae,f769d378
0ba3600e,b87f59a0,1
51675ab1,59bae3db,1
09b8ef53,0e4f6e28,1
59768481,25252121,2414884e
1393be02,699d16b6,a782b548
58cbe124,e303a8bb,1
4e1c4995,2a73cb8e,a782b548
788afecd,2a73cb8e,2
59a0c5b3,c073e27f,1b836613
2e68734d,28bfb272,a782b548
ef6abfcf,28bfb272,1b836613
03f09cb0,7019e77b,a6e2979c
6349cbc3,246cb28b,a782b548
6fc2a2f7,91eba35c,1
0c012429,30502e2a,2414884e
e26541fe,d0a09cfc,a782b548
18f90026,7745244b,2
29577385,01468b73,8aaf08ce
474f9132,01468b73,a85fc6d7
80a4e969,495ae5b7,462abdc2
b1c18b4b,fadd3282,1e6859b8
ec53b3fc,695baa8b,a6e2979c
72c640d6,5ca7784f,a782b548
83217bf9,77edef49,1
8fbbfd0e,a629bdd4,1
e71ab145,bee705f0,1
1c9d5b86,f09dc369,1
573d3095,9cb51544,a782b548
205e7bb2,01c29abd,1b836613
c87f6612,67a4360e,1
8fae07ba,985d5e59,2414884e
a3dac7aa,afff2a60,a782b548
e89e1e3c,a1e8b358,2
f40284ae,a1e8b358,1e6859b8
dd51543a,b7c9187a,2
3db98f2d,b7c9187a,09659890
f0bfebd4,e7b8316c,a6e2979c
a0fb363e,52ef2bf9,a782b548
c23bb7c5,594008ce,a6e2979c
1a9270dd,fc777261,b2d6ea3b
b186846f,934fe11a,f769d378
3ea4602c,77458bd9,2414884e
6191b502,2d4391d9,2
4ac0ea42,382d5f72,2
a2238ce3,382d5f72,a6e2979c
94183d2c,382d5f72,1e6859b8
90b0661c,4ac5f4f2,f769d378
98feceea,04f3f203,1
5ccd834a,e3bd23e8,2414884e
